time,map,mode,runtime,nodes,path_length
2026-07-03T12:40:10.651385,custom,EXPLORATION,34.89770030975342,0,0
2026-07-03T12:44:26.776481,custom,OPTIMAL (A*),5.141667366027832,64,21
2026-07-03T12:44:29.513452,custom,OPTIMAL (A*),0.8364284038543701,30,29
2026-07-03T12:44:35.255913,custom,OPTIMAL (A*),0.48335909843444824,20,16
2026-07-03T12:44:39.546112,office,OPTIMAL (A*),0.6431784629821777,108,33
2026-07-03T12:44:43.545181,office,OPTIMAL (A*),0.6601791381835938,99,24
2026-07-03T12:44:44.713843,office,OPTIMAL (A*),0.7004127502441406,99,24
2026-07-03T12:44:45.555181,office,OPTIMAL (A*),0.6648597717285156,99,24
2026-07-03T12:44:48.002275,office,OPTIMAL (A*),0.8205547332763672,120,27
2026-07-03T12:44:50.043362,office,OPTIMAL (A*),1.0045063495635986,120,27
2026-07-03T12:50:59.372062,custom,OPTIMAL (A*),0.9761240482330322,102,26
2026-07-03T12:54:15.925547,custom,EXPLORATION,61.409101247787476,0,0
2026-07-03T12:57:24.378063,custom,EXPLORATION,20.89088797569275,0,0
2026-07-03T12:57:29.774438,custom,OPTIMAL (A*),1.1850459575653076,137,31
2026-07-03T12:57:31.534228,custom,OPTIMAL (A*),0.8191666603088379,137,31
2026-07-03T12:57:32.819750,custom,OPTIMAL (A*),0.9267456531524658,137,31
2026-07-03T13:04:55.940171,custom,OPTIMAL (A*),5.440584421157837,50,20
2026-07-03T13:04:58.022621,custom,OPTIMAL (A*),0.5418076515197754,62,29
2026-07-03T13:04:59.757218,custom,OPTIMAL (A*),0.5654971599578857,62,29
2026-07-03T13:05:00.477266,custom,OPTIMAL (A*),0.5156021118164062,62,29
2026-07-03T13:05:01.174976,custom,OPTIMAL (A*),0.528311014175415,62,29
2026-07-03T13:05:01.836719,custom,OPTIMAL (A*),0.5586264133453369,62,29
2026-07-03T13:05:02.475114,custom,OPTIMAL (A*),0.5328314304351807,62,29
2026-07-03T13:05:03.117482,custom,OPTIMAL (A*),0.549149751663208,62,29
2026-07-03T13:05:03.803432,custom,OPTIMAL (A*),0.5614526271820068,62,29
2026-07-03T13:05:04.442331,custom,OPTIMAL (A*),0.5323450565338135,62,29
2026-07-03T13:05:05.171107,custom,OPTIMAL (A*),0.5538642406463623,62,29
2026-07-03T13:05:05.829250,custom,OPTIMAL (A*),0.5352036952972412,62,29
2026-07-03T13:05:06.531687,custom,OPTIMAL (A*),0.5479607582092285,62,29
2026-07-03T13:05:07.249641,custom,OPTIMAL (A*),0.5543248653411865,62,29
2026-07-03T13:05:07.913867,custom,OPTIMAL (A*),0.5388162136077881,62,29
2026-07-03T13:05:08.615293,custom,OPTIMAL (A*),0.5469691753387451,62,29
2026-07-03T13:05:09.267899,custom,OPTIMAL (A*),0.530512809753418,62,29
2026-07-03T13:05:09.965459,custom,OPTIMAL (A*),0.5271739959716797,62,29
2026-07-03T13:05:10.665960,custom,OPTIMAL (A*),0.5289731025695801,62,29
2026-07-03T13:07:13.667053,custom,OPTIMAL (A*),0.7834503650665283,21,21
2026-07-03T13:10:07.967822,custom,EXPLORATION,171.99956274032593,21,0
